 b4b | 07/08/2024 | 03:44:57 AM EEST | Session Audit #0xff |  | Asserted
 b4c | 07/08/2024 | 03:51:31 AM EEST | Session Audit #0xff |  | Asserted
 b4d | 07/08/2024 | 03:53:43 AM EEST | Session Audit #0xff |  | Asserted
 b4e | 07/08/2024 | 03:54:01 AM EEST | Session Audit #0xff |  | Asserted
 b4f | 07/08/2024 | 03:55:52 AM EEST | Session Audit #0xff |  | Asserted
 b50 | 07/08/2024 | 03:58:01 AM EEST | Session Audit #0xff |  | Asserted
 b51 | 07/08/2024 | 04:00:15 AM EEST | Session Audit #0xff |  | Asserted
 b52 | 07/08/2024 | 04:02:30 AM EEST | Session Audit #0xff |  | Asserted
 b53 | 07/08/2024 | 04:04:45 AM EEST | Session Audit #0xff |  | Asserted
 b54 | 07/08/2024 | 04:05:57 AM EEST | Session Audit #0xff |  | Asserted
 b55 | 07/08/2024 | 04:09:11 AM EEST | Session Audit #0xff |  | Asserted
 b56 | 07/08/2024 | 04:11:22 AM EEST | Session Audit #0xff |  | Asserted
 b57 | 07/08/2024 | 04:13:34 AM EEST | Session Audit #0xff |  | Asserted
 b58 | 07/08/2024 | 04:15:50 AM EEST | Session Audit #0xff |  | Asserted
 b59 | 07/08/2024 | 04:18:04 AM EEST | Session Audit #0xff |  | Asserted
 b5a | 07/08/2024 | 04:20:13 AM EEST | Session Audit #0xff |  | Asserted
 b5b | 07/08/2024 | 04:22:23 AM EEST | Session Audit #0xff |  | Asserted
 b5c | 07/08/2024 | 04:24:37 AM EEST | Session Audit #0xff |  | Asserted
 b5d | 07/08/2024 | 04:26:46 AM EEST | Session Audit #0xff |  | Asserted
 b5e | 07/08/2024 | 04:28:57 AM EEST | Session Audit #0xff |  | Asserted
 b5f | 07/08/2024 | 04:30:01 AM EEST | Session Audit #0xff |  | Asserted
 b60 | 07/08/2024 | 04:33:18 AM EEST | Session Audit #0xff |  | Asserted
 b61 | 07/08/2024 | 04:35:28 AM EEST | Session Audit #0xff |  | Asserted
 b62 | 07/08/2024 | 04:39:47 AM EEST | Session Audit #0xff |  | Asserted
 b63 | 07/08/2024 | 04:41:57 AM EEST | Session Audit #0xff |  | Asserted
 b64 | 07/08/2024 | 04:42:06 AM EEST | Session Audit #0xff |  | Asserted
 b65 | 07/08/2024 | 04:44:09 AM EEST | Session Audit #0xff |  | Asserted
 b66 | 07/08/2024 | 04:46:17 AM EEST | Session Audit #0xff |  | Asserted
 b67 | 07/08/2024 | 04:48:27 AM EEST | Session Audit #0xff |  | Asserted
 b68 | 07/08/2024 | 04:50:37 AM EEST | Session Audit #0xff |  | Asserted
 b69 | 07/08/2024 | 04:52:54 AM EEST | Session Audit #0xff |  | Asserted
 b6a | 07/08/2024 | 04:54:12 AM EEST | Session Audit #0xff |  | Asserted
 b6b | 07/08/2024 | 04:55:03 AM EEST | Session Audit #0xff |  | Asserted
 b6c | 07/08/2024 | 04:57:12 AM EEST | Session Audit #0xff |  | Asserted
 b6d | 07/08/2024 | 05:01:39 AM EEST | Session Audit #0xff |  | Asserted
 b6e | 07/08/2024 | 05:06:02 AM EEST | Session Audit #0xff |  | Asserted
 b6f | 07/08/2024 | 05:06:16 AM EEST | Session Audit #0xff |  | Asserted
 b70 | 07/08/2024 | 05:08:11 AM EEST | Session Audit #0xff |  | Asserted
 b71 | 07/08/2024 | 05:10:21 AM EEST | Session Audit #0xff |  | Asserted
 b72 | 07/08/2024 | 05:12:31 AM EEST | Session Audit #0xff |  | Asserted
 b73 | 07/08/2024 | 05:14:42 AM EEST | Session Audit #0xff |  | Asserted
 b74 | 07/08/2024 | 05:18:15 AM EEST | Session Audit #0xff |  | Asserted
 b75 | 07/08/2024 | 05:26:01 AM EEST | Session Audit #0xff |  | Asserted
 b76 | 07/08/2024 | 05:30:05 AM EEST | Session Audit #0xff |  | Asserted
 b77 | 07/08/2024 | 05:30:21 AM EEST | Session Audit #0xff |  | Asserted
 b78 | 07/08/2024 | 05:34:50 AM EEST | Session Audit #0xff |  | Asserted
 b79 | 07/08/2024 | 05:36:59 AM EEST | Session Audit #0xff |  | Asserted
 b7a | 07/08/2024 | 05:39:11 AM EEST | Session Audit #0xff |  | Asserted
 b7b | 07/08/2024 | 05:41:23 AM EEST | Session Audit #0xff |  | Asserted
